sec;sdate;NAV BK DB
IXIIT;2015-12-30;421,8174
IXIIT;2016-01-04;416,5835
IXIIT;2016-01-05;420,4095
IXIIT;2016-01-06;426,8707
IXIIT;2016-01-07;417,4631
IXIIT;2016-01-08;420,0666
IXIIT;2016-01-11;411,0882
IXIIT;2016-01-12;418,2846
IXIIT;2016-01-13;421,5806
IXIIT;2016-01-14;417,9371
IXIIT;2016-01-15;416,8415
IXIIT;2016-01-18;412,5037
IXIIT;2016-01-19;415,6592
IXIIT;2016-01-20;408,527
IXIIT;2016-01-21;407,9517
IXIIT;2016-01-22;414,4307
IXIIT;2016-01-25;418,0696
IXIIT;2016-01-26;416,659
IXIIT;2016-01-27;422,5162
IXIIT;2016-01-28;423,2694
IXIIT;2016-01-29;425,4382
IXIIT;2016-02-01;425,1097
IXIIT;2016-02-02;420,1722
IXIIT;2016-02-03;422,5955
IXIIT;2016-02-04;431,8801
IXIIT;2016-02-05;450,0722
IXIIT;2016-02-09;444,6955
IXIIT;2016-02-10;442,0792
IXIIT;2016-02-11;448,0824
IXIIT;2016-02-12;439,5027
IXIIT;2016-02-15;442,3831
IXIIT;2016-02-16;443,1485
IXIIT;2016-02-17;445,7539
IXIIT;2016-02-18;447,283
IXIIT;2016-02-19;436,5034
IXIIT;2016-02-22;435,6063
IXIIT;2016-02-23;429,5856
IXIIT;2016-02-24;429,7558
IXIIT;2016-02-25;429,3315
IXIIT;2016-02-26;439,0855
IXIIT;2016-02-29;443,3176
IXIIT;2016-03-01;443,6955
IXIIT;2016-03-02;450,9337
IXIIT;2016-03-03;452,1449
IXIIT;2016-03-04;452,055
IXIIT;2016-03-07;449,8356
IXIIT;2016-03-08;447,3892
IXIIT;2016-03-10;446,6971
IXIIT;2016-03-11;449,356
IXIIT;2016-03-14;456,1802
IXIIT;2016-03-15;452,8894
IXIIT;2016-03-16;453,3773
IXIIT;2016-03-17;455,9019
IXIIT;2016-03-18;457,3337
IXIIT;2016-03-21;457,438
IXIIT;2016-03-22;455,4784
IXIIT;2016-03-23;452,3739
IXIIT;2016-03-24;449,5234
IXIIT;2016-03-28;443,9007
IXIIT;2016-03-29;443,9042
IXIIT;2016-03-30;449,2628
IXIIT;2016-03-31;452,2349
IXIIT;2016-04-01;452,4472
IXIIT;2016-04-04;455,5032
IXIIT;2016-04-05;454,5364
IXIIT;2016-04-06;454,4668
IXIIT;2016-04-07;455,3407
IXIIT;2016-04-08;451,5466
IXIIT;2016-04-11;443,9434
IXIIT;2016-04-12;449,2823
IXIIT;2016-04-13;450,7743
IXIIT;2016-04-14;445,2753
IXIIT;2016-04-15;448,7329
IXIIT;2016-04-18;454,6979
IXIIT;2016-04-19;456,3488
IXIIT;2016-04-20;457,8662
IXIIT;2016-04-21;460,8513
IXIIT;2016-04-22;462,7081
IXIIT;2016-04-25;458,1932
IXIIT;2016-04-26;450,3128
IXIIT;2016-04-27;449,7327
IXIIT;2016-04-28;448,4628
IXIIT;2016-04-29;445,5259
IXIIT;2016-05-02;443,1183
IXIIT;2016-05-03;444,0279
IXIIT;2016-05-04;445,7391
IXIIT;2016-05-09;438,5869
IXIIT;2016-05-10;441,96
IXIIT;2016-05-11;445,0316
IXIIT;2016-05-12;443,9612
IXIIT;2016-05-13;437,9336
IXIIT;2016-05-16;433,5619
IXIIT;2016-05-17;433,0756
IXIIT;2016-05-18;434,2877
IXIIT;2016-05-19;431,9746
IXIIT;2016-05-20;432,7553
IXIIT;2016-05-23;437,384
IXIIT;2016-05-24;434,4513
IXIIT;2016-05-25;441,8369
IXIIT;2016-05-26;442,8626
IXIIT;2016-05-27;447,0243
IXIIT;2016-05-30;448,0725
IXIIT;2016-05-31;443,5411
IXIIT;2016-06-01;447,479
IXIIT;2016-06-02;445,6386
IXIIT;2016-06-03;447,7224
IXIIT;2016-06-06;453,9765
IXIIT;2016-06-07;457,7944
IXIIT;2016-06-08;455,5349
IXIIT;2016-06-09;449,6377
IXIIT;2016-06-10;446,4583
IXIIT;2016-06-13;442,4073
IXIIT;2016-06-14;443,8311
IXIIT;2016-06-15;445,6864
IXIIT;2016-06-16;444,5651
IXIIT;2016-06-17;447,0296
IXIIT;2016-06-20;449,0145
IXIIT;2016-06-21;451,5433
IXIIT;2016-06-22;454,8283
IXIIT;2016-06-23;453,2396
IXIIT;2016-06-24;449,1424
IXIIT;2016-06-27;448,6619
IXIIT;2016-06-28;455,2141
IXIIT;2016-06-29;467,3836
IXIIT;2016-06-30;470,591
IXIIT;2016-07-01;466,1192
IXIIT;2016-07-11;478,2873
IXIIT;2016-07-12;481,7109
IXIIT;2016-07-13;486,0278
IXIIT;2016-07-14;478,0069
IXIIT;2016-07-15;481,036
IXIIT;2016-07-18;482,5526
IXIIT;2016-07-19;489,0858
IXIIT;2016-07-20;494,3487
IXIIT;2016-07-21;489,1472
IXIIT;2016-07-22;487,1169
IXIIT;2016-07-25;490,1724
IXIIT;2016-07-26;490,762
IXIIT;2016-07-27;497,2301
IXIIT;2016-07-28;498,7261
IXIIT;2016-07-29;492,802
IXIIT;2016-08-01;508,4415
IXIIT;2016-08-02;506,3416
IXIIT;2016-08-03;502,9832
IXIIT;2016-08-04;504,7291
IXIIT;2016-08-05;508,984
IXIIT;2016-08-08;513,7413
IXIIT;2016-08-09;511,3136
IXIIT;2016-08-10;508,2064
IXIIT;2016-08-11;507,3643
IXIIT;2016-08-12;503,1857
IXIIT;2016-08-15;497,737
IXIIT;2016-08-16;503,3972
IXIIT;2016-08-18;513,8728
IXIIT;2016-08-19;507,7427
IXIIT;2016-08-22;509,3
IXIIT;2016-08-23;508,59
IXIIT;2016-08-24;506,8975
IXIIT;2016-08-25;513,7145
IXIIT;2016-08-26;512,0524
IXIIT;2016-08-29;504,7668
IXIIT;2016-08-30;504,2466
IXIIT;2016-08-31;505,0339
IXIIT;2016-09-01;500,1686
IXIIT;2016-09-02;502,2016
IXIIT;2016-09-05;502,1172
IXIIT;2016-09-06;505,4493
IXIIT;2016-09-07;506,0956
IXIIT;2016-09-08;504,6677
IXIIT;2016-09-09;494,4507
IXIIT;2016-09-13;489,314
IXIIT;2016-09-14;482,0232
