sec;sdate;NAV BK DB
IXISR;2015-12-30;265,5348
IXISR;2016-01-04;262,7626
IXISR;2016-01-05;266,3237
IXISR;2016-01-06;269,8472
IXISR;2016-01-07;263,6682
IXISR;2016-01-08;265,419
IXISR;2016-01-11;259,891
IXISR;2016-01-12;264,8568
IXISR;2016-01-13;267,1205
IXISR;2016-01-14;265,3463
IXISR;2016-01-15;264,1602
IXISR;2016-01-18;261,8467
IXISR;2016-01-19;263,9545
IXISR;2016-01-20;259,467
IXISR;2016-01-21;258,8863
IXISR;2016-01-22;263,4708
IXISR;2016-01-25;266,5909
IXISR;2016-01-26;265,3515
IXISR;2016-01-27;268,7012
IXISR;2016-01-28;268,9917
IXISR;2016-01-29;271,7925
IXISR;2016-02-01;271,4585
IXISR;2016-02-02;267,7994
IXISR;2016-02-03;268,2744
IXISR;2016-02-04;274,2479
IXISR;2016-02-05;285,5583
IXISR;2016-02-09;282,492
IXISR;2016-02-10;281,2321
IXISR;2016-02-11;285,7175
IXISR;2016-02-12;280,3871
IXISR;2016-02-15;281,8384
IXISR;2016-02-16;281,9941
IXISR;2016-02-17;282,864
IXISR;2016-02-18;284,3346
IXISR;2016-02-19;277,2786
IXISR;2016-02-22;276,0876
IXISR;2016-02-23;272,3299
IXISR;2016-02-24;271,606
IXISR;2016-02-25;271,6279
IXISR;2016-02-26;277,5625
IXISR;2016-02-29;279,6302
IXISR;2016-03-01;279,9536
IXISR;2016-03-02;285,1028
IXISR;2016-03-03;285,2293
IXISR;2016-03-04;285,4403
IXISR;2016-03-07;284,8795
IXISR;2016-03-08;283,4006
IXISR;2016-03-10;282,5846
IXISR;2016-03-11;284,5636
IXISR;2016-03-14;288,4169
IXISR;2016-03-15;286,2649
IXISR;2016-03-16;287,5983
IXISR;2016-03-17;289,0106
IXISR;2016-03-18;290,1309
IXISR;2016-03-21;290,663
IXISR;2016-03-22;289,9082
IXISR;2016-03-23;287,2376
IXISR;2016-03-24;285,5239
IXISR;2016-03-28;281,9911
IXISR;2016-03-29;281,5151
IXISR;2016-03-30;284,9519
IXISR;2016-03-31;286,868
IXISR;2016-04-01;287,0391
IXISR;2016-04-04;288,6876
IXISR;2016-04-05;288,0921
IXISR;2016-04-06;287,9387
IXISR;2016-04-07;288,1474
IXISR;2016-04-08;285,7306
IXISR;2016-04-11;280,4404
IXISR;2016-04-12;284,369
IXISR;2016-04-13;285,1391
IXISR;2016-04-14;282,342
IXISR;2016-04-15;284,9152
IXISR;2016-04-18;288,6387
IXISR;2016-04-19;289,432
IXISR;2016-04-20;290,2025
IXISR;2016-04-21;292,8395
IXISR;2016-04-22;293,8843
IXISR;2016-04-25;290,0559
IXISR;2016-04-26;283,9731
IXISR;2016-04-27;282,8343
IXISR;2016-04-28;281,4485
IXISR;2016-04-29;279,6423
IXISR;2016-05-02;278,1782
IXISR;2016-05-03;280,1158
IXISR;2016-05-04;281,0822
IXISR;2016-05-09;276,7802
IXISR;2016-05-10;278,6304
IXISR;2016-05-11;281,485
IXISR;2016-05-12;280,0445
IXISR;2016-05-13;276,6653
IXISR;2016-05-16;274,0242
IXISR;2016-05-17;272,5857
IXISR;2016-05-18;272,4682
IXISR;2016-05-19;271,4348
IXISR;2016-05-20;271,5386
IXISR;2016-05-23;274,6198
IXISR;2016-05-24;273,3407
IXISR;2016-05-25;278,2235
IXISR;2016-05-26;279,2295
IXISR;2016-05-27;281,5521
IXISR;2016-05-30;283,2699
IXISR;2016-05-31;279,7439
IXISR;2016-06-01;282,2007
IXISR;2016-06-02;281,0551
IXISR;2016-06-03;282,6896
IXISR;2016-06-06;286,5642
IXISR;2016-06-07;288,4144
IXISR;2016-06-08;287,5076
IXISR;2016-06-09;284,0302
IXISR;2016-06-10;281,7229
IXISR;2016-06-13;278,9676
IXISR;2016-06-14;279,3258
IXISR;2016-06-15;282,406
IXISR;2016-06-16;282,1783
IXISR;2016-06-17;283,0567
IXISR;2016-06-20;284,0037
IXISR;2016-06-21;284,4576
IXISR;2016-06-22;286,6826
IXISR;2016-06-23;285,9449
IXISR;2016-06-24;283,0233
IXISR;2016-06-27;282,4916
IXISR;2016-06-28;287,2814
IXISR;2016-06-29;295,1106
IXISR;2016-06-30;296,9373
IXISR;2016-07-01;294,0648
IXISR;2016-07-11;300,9796
IXISR;2016-07-12;304,1105
IXISR;2016-07-13;306,5113
IXISR;2016-07-14;301,3907
IXISR;2016-07-15;304,3227
IXISR;2016-07-18;305,5064
IXISR;2016-07-19;310,0626
IXISR;2016-07-20;312,9575
IXISR;2016-07-21;309,204
IXISR;2016-07-22;307,1759
IXISR;2016-07-25;309,4556
IXISR;2016-07-26;310,8022
IXISR;2016-07-27;316,1364
IXISR;2016-07-28;317,624
IXISR;2016-07-29;314,435
IXISR;2016-08-01;324,5978
IXISR;2016-08-02;322,7306
IXISR;2016-08-03;320,3855
IXISR;2016-08-04;322,1998
IXISR;2016-08-05;327,2964
IXISR;2016-08-08;331,3683
IXISR;2016-08-09;330,4744
IXISR;2016-08-10;328,6282
IXISR;2016-08-11;326,6553
IXISR;2016-08-12;324,3126
IXISR;2016-08-15;321,006
